Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Sunday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,0,1,1,1:1
Sunday,1:15 PM,Private 15-min,1:15 PM – 1:30 PM,0,1,1,1:1
Sunday,1:15 PM,Private 15-min,1:15 PM – 1:30 PM,1,1,0,1:1
Sunday,1:30 PM,Clownfish (Beginner),1:30 PM – 2:00 PM,0,3,3,3:1
Sunday,1:30 PM,Swordfish (Advanced),1:30 PM – 2:00 PM,1,4,3,4:1
Sunday,1:30 PM,Private 15-min,1:30 PM – 1:45 PM,1,1,0,1:1
Sunday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Sunday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Sunday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,1,1,0,1:1
Sunday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Sunday,1:45 PM,Private 15-min,1:45 PM – 2:00 PM,1,1,0,1:1
Sunday,2:00 PM,Barracuda (Advanced),2:00 PM – 2:30 PM,0,4,4,4:1
Sunday,2:00 PM,Clownfish (Beginner),2:00 PM – 2:30 PM,0,3,3,3:1
Sunday,2:00 PM,Seahorse (Beginner),2:00 PM – 2:30 PM,2,3,1,3:1
Sunday,2:00 PM,Stingray (Advanced),2:00 PM – 2:30 PM,1,4,3,4:1
Sunday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,1,1,0,1:1
Sunday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Thursday,8:30 AM,Clownfish (Beginner),8:30 AM – 9:00 AM,0,3,3,3:1
Thursday,8:30 AM,Private 15-min,8:30 AM – 8:45 AM,1,1,0,1:1
Thursday,8:45 AM,Private 15-min,8:45 AM – 9:00 AM,1,1,0,1:1
Thursday,9:00 AM,Clownfish (Beginner),9:00 AM – 9:30 AM,0,3,3,3:1
Thursday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
