Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Sunday,8:30 AM,Backfloat Baby 1 (BB1),8:30 AM – 9:00 AM,4,5,1,5:1
Sunday,9:00 AM,Backfloat Baby 1 (BB1),9:00 AM – 9:30 AM,3,5,2,5:1
Sunday,9:30 AM,Backfloat Baby 1 (BB1),9:30 AM – 10:00 AM,2,5,3,5:1
Sunday,10:00 AM,Backfloat Baby 1 (BB1),10:00 AM – 10:30 AM,4,5,1,5:1
Sunday,10:15 AM,Backfloat Baby 1 (BB1),10:15 AM – 10:45 AM,5,5,0,5:1
Sunday,11:00 AM,Backfloat Baby 1 (BB1),11:00 AM – 11:30 AM,5,5,0,5:1
Sunday,8:45 AM,Backfloat Baby 2 (BB2),8:45 AM – 9:15 AM,3,5,2,5:1
Sunday,9:15 AM,Backfloat Baby 2 (BB2),9:15 AM – 9:45 AM,2,5,3,5:1
Sunday,10:45 AM,Backfloat Baby 2 (BB2),10:45 AM – 11:15 AM,2,5,3,5:1
Sunday,9:45 AM,Backfloat Baby 3 (BB3),9:45 AM – 10:15 AM,4,5,1,5:1
Sunday,10:30 AM,Backfloat Baby 3 (BB3),10:30 AM – 11:00 AM,5,5,0,5:1
Sunday,9:00 AM,Little 1 (L1),9:00 AM – 9:30 AM,3,3,0,3:1
Sunday,9:00 AM,Little 1 (L1),9:00 AM – 9:30 AM,3,3,0,3:1
Sunday,9:30 AM,Little 1 (L1),9:30 AM – 10:00 AM,1,3,2,3:1
Sunday,10:00 AM,Little 1 (L1),10:00 AM – 10:30 AM,2,3,1,3:1
Sunday,10:30 AM,Little 1 (L1),10:30 AM – 11:00 AM,2,3,1,3:1
Sunday,11:00 AM,Little 1 (L1),11:00 AM – 11:30 AM,3,3,0,3:1
Sunday,9:30 AM,Little 2 (L2),9:30 AM – 10:00 AM,1,4,3,4:1
Sunday,10:00 AM,Little 2 (L2),10:00 AM – 10:30 AM,3,4,1,4:1
Sunday,10:30 AM,Little 2 (L2),10:30 AM – 11:00 AM,4,4,0,4:1
Sunday,8:45 AM,Middle 1 (M1),8:45 AM – 9:15 AM,2,3,1,3:1
Sunday,9:15 AM,Middle 1 (M1),9:15 AM – 9:45 AM,1,3,2,3:1
Sunday,9:45 AM,Middle 1 (M1),9:45 AM – 10:15 AM,3,3,0,3:1
Sunday,10:15 AM,Middle 1 (M1),10:15 AM – 10:45 AM,3,3,0,3:1
Sunday,10:45 AM,Middle 1 (M1),10:45 AM – 11:15 AM,3,3,0,3:1
Sunday,10:00 AM,Middle 3 (M3),10:00 AM – 10:30 AM,3,4,1,4:1
Sunday,9:15 AM,Big 3 (B3),9:15 AM – 9:45 AM,1,4,3,4:1
Sunday,8:30 AM,Big 1 (B1),8:30 AM – 9:00 AM,2,3,1,3:1
Sunday,9:45 AM,Big 4 (B4),9:45 AM – 10:30 AM,3,6,3,6:1
Sunday,9:00 AM,Big 2 (B2),9:00 AM – 9:30 AM,3,4,1,4:1
Sunday,11:00 AM,10+1 (10+1),11:00 AM – 11:30 AM,4,4,0,4:1
Sunday,8:45 AM,Adult 2 (A2),8:45 AM – 9:15 AM,1,4,3,4:1
Sunday,11:00 AM,Adult 1 (A1),11:00 AM – 11:30 AM,1,3,2,3:1
Monday,3:45 PM,Backfloat Baby 1 (BB1),3:45 PM – 4:15 PM,4,5,1,5:1
Monday,4:45 PM,Backfloat Baby 1 (BB1),4:45 PM – 5:15 PM,4,5,1,5:1
Monday,5:15 PM,Backfloat Baby 1 (BB1),5:15 PM – 5:45 PM,3,5,2,5:1
Monday,5:45 PM,Backfloat Baby 1 (BB1),5:45 PM – 6:15 PM,3,5,2,5:1
Monday,6:15 PM,Backfloat Baby 1 (BB1),6:15 PM – 6:45 PM,5,5,0,5:1
Monday,4:00 PM,Backfloat Baby 2 (BB2),4:00 PM – 4:30 PM,2,5,3,5:1
Monday,4:15 PM,Backfloat Baby 2 (BB2),4:15 PM – 4:45 PM,4,5,1,5:1
Monday,5:00 PM,Backfloat Baby 2 (BB2),5:00 PM – 5:30 PM,3,5,2,5:1
Monday,5:30 PM,Backfloat Baby 2 (BB2),5:30 PM – 6:00 PM,3,5,2,5:1
Monday,4:30 PM,Backfloat Baby 3 (BB3),4:30 PM – 5:00 PM,1,5,4,5:1
Monday,3:45 PM,Little 1 (L1),3:45 PM – 4:15 PM,1,3,2,3:1
Monday,4:30 PM,Little 1 (L1),4:30 PM – 5:00 PM,3,3,0,3:1
Monday,5:00 PM,Little 1 (L1),5:00 PM – 5:30 PM,1,3,2,3:1
Monday,5:30 PM,Little 1 (L1),5:30 PM – 6:00 PM,1,3,2,3:1
Monday,5:45 PM,Little 1 (L1),5:45 PM – 6:15 PM,3,3,0,3:1
Monday,6:00 PM,Little 1 (L1),6:00 PM – 6:30 PM,3,3,0,3:1
Monday,6:15 PM,Little 1 (L1),6:15 PM – 6:45 PM,1,3,2,3:1
Monday,6:30 PM,Little 1 (L1),6:30 PM – 7:00 PM,2,3,1,3:1
Monday,6:45 PM,Little 1 (L1),6:45 PM – 7:15 PM,1,3,2,3:1
Monday,7:00 PM,Little 1 (L1),7:00 PM – 7:30 PM,3,3,0,3:1
Monday,4:30 PM,Little 2 (L2),4:30 PM – 5:00 PM,2,4,2,4:1
Monday,5:30 PM,Little 2 (L2),5:30 PM – 6:00 PM,1,4,3,4:1
Monday,6:30 PM,Little 2 (L2),6:30 PM – 7:00 PM,4,4,0,4:1
Monday,5:00 PM,Little 3 (L3),5:00 PM – 5:30 PM,3,4,1,4:1
Monday,3:45 PM,Middle 1 (M1),3:45 PM – 4:15 PM,2,3,1,3:1
Monday,4:45 PM,Middle 1 (M1),4:45 PM – 5:15 PM,2,3,1,3:1
Monday,5:45 PM,Middle 1 (M1),5:45 PM – 6:15 PM,2,3,1,3:1
Monday,6:00 PM,Middle 1 (M1),6:00 PM – 6:30 PM,3,3,0,3:1
Monday,6:00 PM,Middle 1 (M1),6:00 PM – 6:30 PM,1,3,2,3:1
