Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Monday,5:45 PM,Big 4 (B4),5:45 PM – 6:30 PM,4,6,2,6:1
Monday,4:45 PM,Big 2 (B2),4:45 PM – 5:15 PM,3,4,1,4:1
Tuesday,9:00 AM,Backfloat Baby 1 (BB1),9:00 AM – 9:30 AM,4,5,1,5:1
Tuesday,10:00 AM,Backfloat Baby 1 (BB1),10:00 AM – 10:30 AM,2,5,3,5:1
Tuesday,6:15 PM,Backfloat Baby 1 (BB1),6:15 PM – 6:45 PM,3,5,2,5:1
Tuesday,9:30 AM,Backfloat Baby 2 (BB2),9:30 AM – 10:00 AM,3,5,2,5:1
Tuesday,5:15 PM,Backfloat Baby 2 (BB2),5:15 PM – 5:45 PM,3,5,2,5:1
Tuesday,9:30 AM,Backfloat Baby 2 (BB2),9:30 AM – 10:00 AM,3,5,2,5:1
Tuesday,5:15 PM,Backfloat Baby 2 (BB2),5:15 PM – 5:45 PM,3,5,2,5:1
Tuesday,9:00 AM,Little 1 (L1),9:00 AM – 9:30 AM,2,3,1,3:1
Tuesday,4:15 PM,Little 1 (L1),4:15 PM – 4:45 PM,2,3,1,3:1
Tuesday,9:30 AM,Little 2 (L2),9:30 AM – 10:00 AM,3,4,1,4:1
Tuesday,4:45 PM,Little 2 (L2),4:45 PM – 5:15 PM,1,4,3,4:1
Tuesday,9:30 AM,Little 2 (L2),9:30 AM – 10:00 AM,3,4,1,4:1
Tuesday,4:45 PM,Little 2 (L2),4:45 PM – 5:15 PM,1,4,3,4:1
Tuesday,9:30 AM,Little 2 (L2),9:30 AM – 10:00 AM,3,4,1,4:1
Tuesday,4:45 PM,Little 2 (L2),4:45 PM – 5:15 PM,1,4,3,4:1
Tuesday,4:45 PM,Middle 4 (M4),4:45 PM – 5:15 PM,1,4,3,4:1
Tuesday,10:00 AM,Middle 2 (M2),10:00 AM – 10:30 AM,3,4,1,4:1
Tuesday,6:00 PM,Middle 2 (M2),6:00 PM – 6:30 PM,2,4,2,4:1
Tuesday,4:15 PM,Big 1 (B1),4:15 PM – 4:45 PM,3,3,0,3:1
Tuesday,5:30 PM,Big 4 (B4),5:30 PM – 6:15 PM,4,6,2,6:1
Tuesday,5:45 PM,Big 6 (B6),5:45 PM – 7:00 PM,5,10,5,10:1
Tuesday,5:00 PM,10+1 (10+1),5:00 PM – 5:30 PM,1,4,3,4:1
Tuesday,6:45 PM,10+1 (10+1),6:45 PM – 7:15 PM,2,4,2,4:1
Tuesday,5:45 PM,Adult 1 (A1),5:45 PM – 6:15 PM,2,3,1,3:1
Thursday,4:00 PM,Backfloat Baby 1 (BB1),4:00 PM – 4:30 PM,3,5,2,5:1
Thursday,5:00 PM,Backfloat Baby 1 (BB1),5:00 PM – 5:30 PM,1,5,4,5:1
Thursday,6:00 PM,Backfloat Baby 1 (BB1),6:00 PM – 6:30 PM,2,5,3,5:1
Thursday,4:30 PM,Backfloat Baby 2 (BB2),4:30 PM – 5:00 PM,1,5,4,5:1
Thursday,6:30 PM,Backfloat Baby 2 (BB2),6:30 PM – 7:00 PM,4,5,1,5:1
Thursday,4:30 PM,Backfloat Baby 2 (BB2),4:30 PM – 5:00 PM,1,5,4,5:1
Thursday,6:30 PM,Backfloat Baby 2 (BB2),6:30 PM – 7:00 PM,4,5,1,5:1
Thursday,4:15 PM,Little 1 (L1),4:15 PM – 4:45 PM,3,3,0,3:1
Thursday,6:15 PM,Little 1 (L1),6:15 PM – 6:45 PM,1,3,2,3:1
Thursday,6:45 PM,Little 1 (L1),6:45 PM – 7:15 PM,2,3,1,3:1
Thursday,5:45 PM,Little 2 (L2),5:45 PM – 6:15 PM,2,4,2,4:1
Thursday,5:45 PM,Little 2 (L2),5:45 PM – 6:15 PM,2,4,2,4:1
Thursday,5:45 PM,Little 2 (L2),5:45 PM – 6:15 PM,2,4,2,4:1
Thursday,6:15 PM,Middle 3 (M3),6:15 PM – 6:45 PM,1,4,3,4:1
Thursday,6:15 PM,Middle 3 (M3),6:15 PM – 6:45 PM,1,4,3,4:1
Thursday,5:15 PM,Middle 4 (M4),5:15 PM – 5:45 PM,3,4,1,4:1
